[DEBUG] 2021-12-14 22:23:05.072 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@73010765
[DEBUG] 2021-12-14 22:23:05.073 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@73010765
[DEBUG] 2021-12-14 22:23:05.073 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@459b187a
[DEBUG] 2021-12-14 22:23:05.073 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@7eae3764
[DEBUG] 2021-12-14 22:23:05.074 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@6884f0d9
[DEBUG] 2021-12-14 22:23:05.074 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@6884f0d9
[DEBUG] 2021-12-14 22:23:05.074 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@103082dd
[DEBUG] 2021-12-14 22:23:05.074 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@36bf84e
[DEBUG] 2021-12-14 22:23:05.074 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@36bf84e
[DEBUG] 2021-12-14 22:23:05.075 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@2016f509
[DEBUG] 2021-12-14 22:23:05.075 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@2016f509
[DEBUG] 2021-12-14 22:23:05.075 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@6a0094c9
[DEBUG] 2021-12-14 22:23:05.075 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@4f6b687e
[DEBUG] 2021-12-14 22:23:05.076 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@71945bc0
[DEBUG] 2021-12-14 22:23:05.077 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@2e6f610d
[DEBUG] 2021-12-14 22:23:05.077 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@2e6f610d
[DEBUG] 2021-12-14 22:23:05.077 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@212dfd39
[DEBUG] 2021-12-14 22:23:05.077 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@a2ddf26
[DEBUG] 2021-12-14 22:23:05.077 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@65d57e4e
[DEBUG] 2021-12-14 22:23:05.078 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@6daf7d37
[DEBUG] 2021-12-14 22:23:05.078 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@23a5818e
[DEBUG] 2021-12-14 22:23:05.078 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@4715ae33
[DEBUG] 2021-12-14 22:23:05.078 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@9fc9f91
[DEBUG] 2021-12-14 22:23:05.078 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@1fac1d5c
