[DEBUG] 2021-12-14 22:33:23.340 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@741f8dbe
[DEBUG] 2021-12-14 22:33:23.340 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@212dfd39
[DEBUG] 2021-12-14 22:33:23.340 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@a2ddf26
[DEBUG] 2021-12-14 22:33:23.340 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@65d57e4e
[DEBUG] 2021-12-14 22:33:23.340 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@6daf7d37
[DEBUG] 2021-12-14 22:33:23.340 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@23a5818e
[DEBUG] 2021-12-14 22:33:23.340 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@4715ae33
[DEBUG] 2021-12-14 22:33:23.371 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2021-12-14 22:33:23.371 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2021-12-14 22:33:23.372 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-12-14 22:33:23.372 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-12-14 22:33:23.375 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2021-12-14 22:33:23.375 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2021-12-14 22:33:23.375 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2021-12-14 22:33:23.377 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-12-14 22:33:23.377 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2021-12-14 22:33:23.378 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2021-12-14 22:33:23.378 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2021-12-14 22:33:23.378 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2021-12-14 22:33:23.382 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-12-14 22:33:23.383 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2021-12-14 22:33:23.392 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/xstitch_test
[INFO ] 2021-12-14 22:33:23.392 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2021-12-14 22:33:23.392 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2021-12-14 22:33:23.572 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2021-12-14 22:33:23.729 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.26
      major : 8
      minor : 0
[DEBUG] 2021-12-14 22:33:23.736 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.26 (Revision: 9aae1e450989d62c06616c1dcda3e404ef84df70)
      major : 8
      minor : 0
[DEBUG] 2021-12-14 22:33:23.736 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2021-12-14 22:33:23.777 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2021-12-14 22:33:23.807 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2021-12-14 22:33:23.842 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2021-12-14 22:33:23.892 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2021-12-14 22:33:23.895 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@4fdca00a] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@513b52af]
[DEBUG] 2021-12-14 22:33:23.949 [main] AnnotationBinder - Binding entity from annotated class: com.stitchable.entity.Designer
[DEBUG] 2021-12-14 22:33:23.972 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2021-12-14 22:33:23.977 [main] EntityBinder - Import with entity name Designer
[DEBUG] 2021-12-14 22:33:23.979 [main] EntityBinder - Bind entity com.stitchable.entity.Designer on table designer
[DEBUG] 2021-12-14 22:33:24.008 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-14 22:33:24.009 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2021-12-14 22:33:24.010 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.stitchable.entity.Designer:id]
[DEBUG] 2021-12-14 22:33:24.014 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2021-12-14 22:33:24.016 [main] PropertyBinder - Building property id
[DEBUG] 2021-12-14 22:33:24.019 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2021-12-14 22:33:24.020 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=etsy_store, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-14 22:33:24.023 [main] PropertyBinder - MetadataSourceProcessor property etsyId with lazy=false
[DEBUG] 2021-12-14 22:33:24.023 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.stitchable.entity.Designer:etsyId]
[DEBUG] 2021-12-14 22:33:24.024 [main] SimpleValueBinder - building SimpleValue for etsyId
[DEBUG] 2021-12-14 22:33:24.024 [main] PropertyBinder - Building property etsyId
[DEBUG] 2021-12-14 22:33:24.024 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=logo, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-14 22:33:24.024 [main] PropertyBinder - MetadataSourceProcessor property logo with lazy=false
[DEBUG] 2021-12-14 22:33:24.024 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.stitchable.entity.Designer:logo]
[DEBUG] 2021-12-14 22:33:24.024 [main] SimpleValueBinder - building SimpleValue for logo
[DEBUG] 2021-12-14 22:33:24.024 [main] PropertyBinder - Building property logo
[DEBUG] 2021-12-14 22:33:24.024 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=name, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-14 22:33:24.025 [main] PropertyBinder - MetadataSourceProcessor property name with lazy=false
